producer_muni,producer_industry,producer_cell,flow,value
101,s01,r101_s01,Producer dividends paid,47294433.31816948
101,s02,r101_s02,Producer dividends paid,76846268.74689095
101,s03,r101_s03,Producer dividends paid,178879153.74672058
101,s04,r101_s04,Producer dividends paid,358470271.7511595
101,s05,r101_s05,Producer dividends paid,50340900.029888295
101,s06,r101_s06,Producer dividends paid,85974420.99616489
101,s07,r101_s07,Producer dividends paid,44269870.398902446
101,s08,r101_s08,Producer dividends paid,750548172.0141246
101,s09,r101_s09,Producer dividends paid,120063854.0440997
101,s10,r101_s10,Producer dividends paid,44109718.36941251
101,s11,r101_s11,Producer dividends paid,307744012.3533301
101,s12,r101_s12,Producer dividends paid,131216087.5610088
101,s13,r101_s13,Producer dividends paid,578798359.424424
101,s14,r101_s14,Producer dividends paid,31888467.900916968
101,s15,r101_s15,Producer dividends paid,495341168.78506577
101,s16,r101_s16,Producer dividends paid,393780842.4510364
101,s17,r101_s17,Producer dividends paid,721974331.4900278
101,s18,r101_s18,Producer dividends paid,113114.57594308748
101,s19,r101_s19,Producer dividends paid,215334511.85157147
101,s20,r101_s20,Producer dividends paid,28091100.02479029
101,s21,r101_s21,Producer dividends paid,3617629116.0285
101,s24,r101_s24,Producer dividends paid,79282744.86259621
101,s26,r101_s26,Producer dividends paid,125021724.17336188
101,s27,r101_s27,Producer dividends paid,208015038.22200125
101,s77,r101_s77,Producer dividends paid,6.1592817432789e-08
101,s88,r101_s88,Producer dividends paid,0.0
101,s99,r101_s99,Producer dividends paid,0.0
101,s01,r101_s01,Producer exports,1612641024.0
101,s02,r101_s02,Producer exports,1526094720.0
101,s03,r101_s03,Producer exports,1520103040.0
101,s04,r101_s04,Producer exports,5996545023.999999
101,s05,r101_s05,Producer exports,2439924117.4314384
101,s06,r101_s06,Producer exports,3616326144.0
101,s07,r101_s07,Producer exports,1230559360.0
101,s08,r101_s08,Producer exports,3279259392.0
101,s09,r101_s09,Producer exports,4143321344.0
101,s10,r101_s10,Producer exports,114251464.0
101,s11,r101_s11,Producer exports,4145407744.0
101,s12,r101_s12,Producer exports,2361732352.0
101,s13,r101_s13,Producer exports,15803288576.0
101,s14,r101_s14,Producer exports,215338752.0
101,s15,r101_s15,Producer exports,20994424832.0
101,s16,r101_s16,Producer exports,15664980992.0
101,s17,r101_s17,Producer exports,3630491904.0
101,s18,r101_s18,Producer exports,343909887.99999994
