value,var_name,cust_sector,cust_muni_name
197366365.71117476,Consumer adjustment for pension entitlements received,01,København
308340477.7025924,Consumer adjustment for pension entitlements received,02,København
199690524.2473998,Consumer adjustment for pension entitlements received,03,København
1347486676.4187107,Consumer adjustment for pension entitlements received,04,København
223900554.81300732,Consumer adjustment for pension entitlements received,05,København
135978235.32931757,Consumer adjustment for pension entitlements received,06,København
208116104.20114136,Consumer adjustment for pension entitlements received,07,København
553192960.0712852,Consumer adjustment for pension entitlements received,08,København
338225583.1313987,Consumer adjustment for pension entitlements received,09,København
90347259.0545616,Consumer adjustment for pension entitlements received,10,København
301627990.43406343,Consumer adjustment for pension entitlements received,11,København
499821878.6403538,Consumer adjustment for pension entitlements received,12,København
1823877757.4476795,Consumer adjustment for pension entitlements received,13,København
434209438.2377191,Consumer adjustment for pension entitlements received,14,København
1038256229.082355,Consumer adjustment for pension entitlements received,15,København
912413066.3519754,Consumer adjustment for pension entitlements received,16,København
1299605133.5659251,Consumer adjustment for pension entitlements received,17,København
725024050.0608137,Consumer adjustment for pension entitlements received,18,København
56577956.46971893,Consumer adjustment for pension entitlements received,19,København
73897997.8180666,Consumer adjustment for pension entitlements received,20,København
180252849.2023697,Consumer adjustment for pension entitlements received,21,København
-132319212.8845806,Consumer adjustment for pension entitlements received,22,København
-2812957762.82121,Consumer adjustment for pension entitlements received,23,København
2392507243.645277,Consumer adjustment for pension entitlements received,24,København
-1887964.4430211785,Consumer adjustment for pension entitlements received,25,København
1897721503.9487011,Consumer adjustment for pension entitlements received,26,København
1598943639.612481,Consumer adjustment for pension entitlements received,27,København
72495059.06623936,Consumer adjustment for pension entitlements received,28,København
31971849.41121068,Consumer dividends received,01,København
29950702.92163698,Consumer dividends received,02,København
13773667.40914455,Consumer dividends received,03,København
226707049.476889,Consumer dividends received,04,København
10013248.05776775,Consumer dividends received,05,København
40069998.27831285,Consumer dividends received,06,København
11950712.477017451,Consumer dividends received,07,København
27993748.77220742,Consumer dividends received,08,København
90794519.7700779,Consumer dividends received,09,København
24378552.86127442,Consumer dividends received,10,København
60510528.25198636,Consumer dividends received,11,København
89869254.8601341,Consumer dividends received,12,København
602504418.7216896,Consumer dividends received,13,København
90188234.1600177,Consumer dividends received,14,København
108982791.3674927,Consumer dividends received,15,København
157229191.8409198,Consumer dividends received,16,København
437999679.9754153,Consumer dividends received,17,København
71285956.4685985,Consumer dividends received,18,København
5865286.832952119,Consumer dividends received,19,København
39178664.56841226,Consumer dividends received,20,København
8857956.25424597,Consumer dividends received,21,København
268991196.3603605,Consumer dividends received,22,København
377390080.8887214,Consumer dividends received,23,København
99865350.440494,Consumer dividends received,24,København
8201341.463688,Consumer dividends received,25,København
82264044.2440034,Consumer dividends received,26,København
62976786.00451782,Consumer dividends received,27,København
5556685.264163819,Consumer dividends received,28,København
-477467559.84250927,Consumer gross saving,01,København
169326653.97869778,Consumer gross saving,02,København
41905309.64292908,Consumer gross saving,03,København
2569756524.4694405,Consumer gross saving,04,København
338624472.90006113,Consumer gross saving,05,København
111818523.61629725,Consumer gross saving,06,København
287177175.89961743,Consumer gross saving,07,København
1104280523.636238,Consumer gross saving,08,København
812111861.2123775,Consumer gross saving,09,København
190984652.68912733,Consumer gross saving,10,København
-9636716.061621666,Consumer gross saving,11,København
518506931.6724863,Consumer gross saving,12,København
3765101516.384186,Consumer gross saving,13,København
418109190.5048866,Consumer gross saving,14,København
1972787482.3658009,Consumer gross saving,15,København
1831278153.3109646,Consumer gross saving,16,København
2732117473.279978,Consumer gross saving,17,København
922720388.1570177,Consumer gross saving,18,København
269137656.3100492,Consumer gross saving,19,København
184872869.194777,Consumer gross saving,20,København
457589976.3743565,Consumer gross saving,21,København
-7913537776.560214,Consumer gross saving,22,København
-2924349618.2997475,Consumer gross saving,23,København
2367509665.0018387,Consumer gross saving,24,København
-659842396.196839,Consumer gross saving,25,København
2622792298.825897,Consumer gross saving,26,København
2967010273.712366,Consumer gross saving,27,København
-745843711.1508675,Consumer gross saving,28,København
64319472.60496229,Consumer interest paid,01,København
59743200.42555949,Consumer interest paid,02,København
30652523.27994201,Consumer interest paid,03,København
250698313.93013507,Consumer interest paid,04,København
32059693.866212957,Consumer interest paid,05,København
25259976.319553375,Consumer interest paid,06,København
26572418.96094681,Consumer interest paid,07,København
71477228.58230071,Consumer interest paid,08,København
65301158.884659365,Consumer interest paid,09,København
11922280.511765016,Consumer interest paid,10,København
65700002.92950465,Consumer interest paid,11,København
92869512.48013687,Consumer interest paid,12,København
337608622.09757686,Consumer interest paid,13,København
77720400.45577866,Consumer interest paid,14,København
122996845.11848557,Consumer interest paid,15,København
137627030.25947046,Consumer interest paid,16,København
163164877.55542764,Consumer interest paid,17,København
110006357.09784375,Consumer interest paid,18,København
8258989.087136882,Consumer interest paid,19,København
11394690.399519723,Consumer interest paid,20,København
20227961.95336782,Consumer interest paid,21,København
126736505.17649691,Consumer interest paid,22,København
141560431.35202357,Consumer interest paid,23,København
339083142.6978237,Consumer interest paid,24,København
