prod_sector,value,var_name,prod_muni_name
01,47294433.31816948,Producer dividends paid,København
02,76846268.74689095,Producer dividends paid,København
03,178879153.74672058,Producer dividends paid,København
04,358470271.7511595,Producer dividends paid,København
05,50340900.029888295,Producer dividends paid,København
06,85974420.99616489,Producer dividends paid,København
07,44269870.398902446,Producer dividends paid,København
08,750548172.0141246,Producer dividends paid,København
09,120063854.0440997,Producer dividends paid,København
10,44109718.36941251,Producer dividends paid,København
11,307744012.3533301,Producer dividends paid,København
12,131216087.5610088,Producer dividends paid,København
13,578798359.424424,Producer dividends paid,København
14,31888467.900916968,Producer dividends paid,København
15,495341168.78506577,Producer dividends paid,København
16,393780842.4510364,Producer dividends paid,København
17,721974331.4900278,Producer dividends paid,København
18,113114.57594308748,Producer dividends paid,København
19,215334511.85157147,Producer dividends paid,København
20,28091100.02479029,Producer dividends paid,København
21,3617629116.0285,Producer dividends paid,København
24,79282744.86259621,Producer dividends paid,København
26,125021724.17336188,Producer dividends paid,København
27,208015038.22200125,Producer dividends paid,København
77,6.1592817432789e-08,Producer dividends paid,København
88,0.0,Producer dividends paid,København
99,0.0,Producer dividends paid,København
01,1612641024.0,Producer exports,København
02,1526094720.0,Producer exports,København
03,1520103040.0,Producer exports,København
04,5996545023.999999,Producer exports,København
05,2439924117.4314384,Producer exports,København
06,3616326144.0,Producer exports,København
07,1230559360.0,Producer exports,København
08,3279259392.0,Producer exports,København
09,4143321344.0,Producer exports,København
10,114251464.0,Producer exports,København
11,4145407744.0,Producer exports,København
12,2361732352.0,Producer exports,København
13,15803288576.0,Producer exports,København
14,215338752.0,Producer exports,København
15,20994424832.0,Producer exports,København
16,15664980992.0,Producer exports,København
17,3630491904.0,Producer exports,København
18,343909887.99999994,Producer exports,København
19,3295259648.0000005,Producer exports,København
20,572694976.0,Producer exports,København
21,127144885195.86298,Producer exports,København
24,80407840.0,Producer exports,København
26,91963416.0,Producer exports,København
27,256953856.0,Producer exports,København
77,0.0,Producer exports,København
88,0.0,Producer exports,København
99,0.0,Producer exports,København
01,2511004928.000001,Producer imports,København
02,3696761088.0000014,Producer imports,København
03,3845630720.0,Producer imports,København
04,3621391103.9999995,Producer imports,København
05,8719531066.204908,Producer imports,København
06,5718232575.999998,Producer imports,København
07,660294784.0000002,Producer imports,København
08,7113999360.0,Producer imports,København
09,1962313087.9999983,Producer imports,København
10,396898368.0,Producer imports,København
11,6159503360.000009,Producer imports,København
12,3103133184.0000043,Producer imports,København
13,7517356544.000011,Producer imports,København
14,907602559.999999,Producer imports,København
15,6302783488.0,Producer imports,København
16,4432515072.000003,Producer imports,København
17,2649893119.999998,Producer imports,København
18,1032332416.0000015,Producer imports,København
19,588628736.0000002,Producer imports,København
20,666153919.9999995,Producer imports,København
21,113612405496.0146,Producer imports,København
24,2212385535.999999,Producer imports,København
26,890457407.9999973,Producer imports,København
27,2606258176.000001,Producer imports,København
77,2912170.4999999846,Producer imports,København
88,4654514.500000029,Producer imports,København
99,23871809.999999918,Producer imports,København
01,415510881.97414243,Producer product taxes paid,København
02,580910726.5817533,Producer product taxes paid,København
03,40044104.83515471,Producer product taxes paid,København
04,597623593.2851751,Producer product taxes paid,København
05,496804281.59196955,Producer product taxes paid,København
06,102258149.9326125,Producer product taxes paid,København
07,31355616.20132181,Producer product taxes paid,København
08,50974272.4301817,Producer product taxes paid,København
09,46993077.96499952,Producer product taxes paid,København
10,31747789.238042224,Producer product taxes paid,København
