consumer_muni,consumer_industry,consumer_cell,flow,value
101,s01,r101_s01,Consumer adjustment for pension entitlements received,197366365.7111748
101,s02,r101_s02,Consumer adjustment for pension entitlements received,308340477.7025924
101,s03,r101_s03,Consumer adjustment for pension entitlements received,199690524.2473998
101,s04,r101_s04,Consumer adjustment for pension entitlements received,1347486676.4187107
101,s05,r101_s05,Consumer adjustment for pension entitlements received,223900554.81300727
101,s06,r101_s06,Consumer adjustment for pension entitlements received,135978235.32931757
101,s07,r101_s07,Consumer adjustment for pension entitlements received,208116104.20114136
101,s08,r101_s08,Consumer adjustment for pension entitlements received,553192960.0712852
101,s09,r101_s09,Consumer adjustment for pension entitlements received,338225583.1313987
101,s10,r101_s10,Consumer adjustment for pension entitlements received,90347259.0545616
101,s11,r101_s11,Consumer adjustment for pension entitlements received,301627990.43406343
101,s12,r101_s12,Consumer adjustment for pension entitlements received,499821878.6403538
101,s13,r101_s13,Consumer adjustment for pension entitlements received,1823877757.4476795
101,s14,r101_s14,Consumer adjustment for pension entitlements received,434209438.2377191
101,s15,r101_s15,Consumer adjustment for pension entitlements received,1038256229.082355
101,s16,r101_s16,Consumer adjustment for pension entitlements received,912413066.3519754
101,s17,r101_s17,Consumer adjustment for pension entitlements received,1299605133.5659251
101,s18,r101_s18,Consumer adjustment for pension entitlements received,725024050.0608137
101,s19,r101_s19,Consumer adjustment for pension entitlements received,56577956.46971893
101,s20,r101_s20,Consumer adjustment for pension entitlements received,73897997.8180666
101,s21,r101_s21,Consumer adjustment for pension entitlements received,180252849.2023697
101,s22,r101_s22,Consumer adjustment for pension entitlements received,-132319212.8845806
101,s23,r101_s23,Consumer adjustment for pension entitlements received,-2812957762.82121
101,s24,r101_s24,Consumer adjustment for pension entitlements received,2392507243.645277
101,s25,r101_s25,Consumer adjustment for pension entitlements received,-1887964.4430211785
101,s26,r101_s26,Consumer adjustment for pension entitlements received,1897721503.948701
101,s27,r101_s27,Consumer adjustment for pension entitlements received,1598943639.612481
101,s28,r101_s28,Consumer adjustment for pension entitlements received,72495059.06623936
101,s01,r101_s01,Consumer dividends received,31971849.41121068
101,s02,r101_s02,Consumer dividends received,29950702.92163698
101,s03,r101_s03,Consumer dividends received,13773667.40914455
101,s04,r101_s04,Consumer dividends received,226707049.476889
101,s05,r101_s05,Consumer dividends received,10013248.05776775
101,s06,r101_s06,Consumer dividends received,40069998.27831285
101,s07,r101_s07,Consumer dividends received,11950712.477017451
101,s08,r101_s08,Consumer dividends received,27993748.77220742
101,s09,r101_s09,Consumer dividends received,90794519.7700779
101,s10,r101_s10,Consumer dividends received,24378552.86127442
101,s11,r101_s11,Consumer dividends received,60510528.25198636
101,s12,r101_s12,Consumer dividends received,89869254.8601341
101,s13,r101_s13,Consumer dividends received,602504418.7216896
101,s14,r101_s14,Consumer dividends received,90188234.1600177
101,s15,r101_s15,Consumer dividends received,108982791.3674927
101,s16,r101_s16,Consumer dividends received,157229191.8409198
101,s17,r101_s17,Consumer dividends received,437999679.9754153
101,s18,r101_s18,Consumer dividends received,71285956.4685985
101,s19,r101_s19,Consumer dividends received,5865286.832952119
101,s20,r101_s20,Consumer dividends received,39178664.56841226
101,s21,r101_s21,Consumer dividends received,8857956.25424597
101,s22,r101_s22,Consumer dividends received,268991196.3603605
101,s23,r101_s23,Consumer dividends received,377390080.8887214
101,s24,r101_s24,Consumer dividends received,99865350.440494
101,s25,r101_s25,Consumer dividends received,8201341.463688
101,s26,r101_s26,Consumer dividends received,82264044.2440034
101,s27,r101_s27,Consumer dividends received,62976786.00451782
101,s28,r101_s28,Consumer dividends received,5556685.264163819
101,s01,r101_s01,Consumer gross saving,-477467559.84250927
101,s02,r101_s02,Consumer gross saving,169326653.97869778
101,s03,r101_s03,Consumer gross saving,41905309.64292908
101,s04,r101_s04,Consumer gross saving,2569756524.4694405
101,s05,r101_s05,Consumer gross saving,338624472.90006113
101,s06,r101_s06,Consumer gross saving,111818523.61629725
101,s07,r101_s07,Consumer gross saving,287177175.89961743
101,s08,r101_s08,Consumer gross saving,1104280523.636238
101,s09,r101_s09,Consumer gross saving,812111861.2123775
101,s10,r101_s10,Consumer gross saving,190984652.68912733
101,s11,r101_s11,Consumer gross saving,-9636716.061621666
101,s12,r101_s12,Consumer gross saving,518506931.6724863
101,s13,r101_s13,Consumer gross saving,3765101516.384186
101,s14,r101_s14,Consumer gross saving,418109190.5048866
101,s15,r101_s15,Consumer gross saving,1972787482.3658009
101,s16,r101_s16,Consumer gross saving,1831278153.3109648
101,s17,r101_s17,Consumer gross saving,2732117473.279978
101,s18,r101_s18,Consumer gross saving,922720388.1570176
101,s19,r101_s19,Consumer gross saving,269137656.3100492
101,s20,r101_s20,Consumer gross saving,184872869.194777
101,s21,r101_s21,Consumer gross saving,457589976.3743565
101,s22,r101_s22,Consumer gross saving,-7913537776.560214
101,s23,r101_s23,Consumer gross saving,-2924349618.2997475
101,s24,r101_s24,Consumer gross saving,2367509665.0018387
101,s25,r101_s25,Consumer gross saving,-659842396.196839
101,s26,r101_s26,Consumer gross saving,2622792298.825897
101,s27,r101_s27,Consumer gross saving,2967010273.712366
101,s28,r101_s28,Consumer gross saving,-745843711.1508675
101,s01,r101_s01,Consumer interest paid,64319472.60496229
101,s02,r101_s02,Consumer interest paid,59743200.42555949
101,s03,r101_s03,Consumer interest paid,30652523.27994201
101,s04,r101_s04,Consumer interest paid,250698313.93013507
101,s05,r101_s05,Consumer interest paid,32059693.86621296
101,s06,r101_s06,Consumer interest paid,25259976.31955337
101,s07,r101_s07,Consumer interest paid,26572418.96094681
101,s08,r101_s08,Consumer interest paid,71477228.58230071
101,s09,r101_s09,Consumer interest paid,65301158.884659365
101,s10,r101_s10,Consumer interest paid,11922280.511765016
101,s11,r101_s11,Consumer interest paid,65700002.92950465
101,s12,r101_s12,Consumer interest paid,92869512.48013689
101,s13,r101_s13,Consumer interest paid,337608622.09757686
101,s14,r101_s14,Consumer interest paid,77720400.45577866
101,s15,r101_s15,Consumer interest paid,122996845.11848556
101,s16,r101_s16,Consumer interest paid,137627030.25947046
101,s17,r101_s17,Consumer interest paid,163164877.55542764
101,s18,r101_s18,Consumer interest paid,110006357.09784377
101,s19,r101_s19,Consumer interest paid,8258989.087136882
101,s20,r101_s20,Consumer interest paid,11394690.399519725
101,s21,r101_s21,Consumer interest paid,20227961.95336782
101,s22,r101_s22,Consumer interest paid,126736505.17649692
101,s23,r101_s23,Consumer interest paid,141560431.35202357
101,s24,r101_s24,Consumer interest paid,339083142.6978237
101,s25,r101_s25,Consumer interest paid,14416634.006606605
101,s26,r101_s26,Consumer interest paid,256533073.10235757
101,s27,r101_s27,Consumer interest paid,207742550.77165985
101,s28,r101_s28,Consumer interest paid,48689411.96924465
101,s01,r101_s01,Consumer interest received,2886042.439731285
101,s02,r101_s02,Consumer interest received,5833621.056706614
101,s03,r101_s03,Consumer interest received,2120135.9855441577
101,s04,r101_s04,Consumer interest received,22401951.516295288
101,s05,r101_s05,Consumer interest received,2316981.9601316154
101,s06,r101_s06,Consumer interest received,1908991.233562968
101,s07,r101_s07,Consumer interest received,2474660.2045898736
101,s08,r101_s08,Consumer interest received,6143706.701338686
101,s09,r101_s09,Consumer interest received,5002280.485184585
101,s10,r101_s10,Consumer interest received,1393435.24385011
101,s11,r101_s11,Consumer interest received,4737150.924673685
101,s12,r101_s12,Consumer interest received,7172192.358563544
101,s13,r101_s13,Consumer interest received,34832771.29021143
101,s14,r101_s14,Consumer interest received,9296740.628709052
101,s15,r101_s15,Consumer interest received,13463006.337719364
101,s16,r101_s16,Consumer interest received,11416416.078091422
101,s17,r101_s17,Consumer interest received,26926406.742463745
101,s18,r101_s18,Consumer interest received,13656780.488629907
101,s19,r101_s19,Consumer interest received,1880119.8892360488
101,s20,r101_s20,Consumer interest received,795923.5998237142
101,s21,r101_s21,Consumer interest received,2304541.9446691456
101,s22,r101_s22,Consumer interest received,38493414.98025589
101,s23,r101_s23,Consumer interest received,134319134.20756674
101,s24,r101_s24,Consumer interest received,32333974.875988603
101,s25,r101_s25,Consumer interest received,2051925.9904506763
101,s26,r101_s26,Consumer interest received,29530814.70198942
101,s27,r101_s27,Consumer interest received,23695397.395992428
101,s28,r101_s28,Consumer interest received,2503066.264959548
101,s01,r101_s01,Consumer natural resource rents paid,14655846.259948945
101,s02,r101_s02,Consumer natural resource rents paid,8453839.816710606
101,s03,r101_s03,Consumer natural resource rents paid,6302710.491204672
101,s04,r101_s04,Consumer natural resource rents paid,27825361.345655423
101,s05,r101_s05,Consumer natural resource rents paid,3697277.189879208
101,s06,r101_s06,Consumer natural resource rents paid,3688948.283655848
101,s07,r101_s07,Consumer natural resource rents paid,2210188.842363017
