consumer_muni,consumer_industry,consumer_cell,s_foreign_
101,s01,101s01,0.1528025693416272
101,s02,101s02,0.1334992166903652
101,s03,101s03,0.1373631950191188
101,s04,101s04,0.1314474571953088
101,s05,101s05,0.1178505468248195
101,s06,101s06,0.1339836330662821
101,s07,101s07,0.1064177764128774
101,s08,101s08,0.0944373844048182
101,s09,101s09,0.1246447744311717
101,s10,101s10,0.0998034872951745
101,s11,101s11,0.1279452623804376
101,s12,101s12,0.1298638573324094
101,s13,101s13,0.1431468140830777
101,s14,101s14,0.1396629815527564
101,s15,101s15,0.1421930135144273
101,s16,101s16,0.1386539884888477
101,s17,101s17,0.1256291606041815
101,s18,101s18,0.1138801471789812
101,s19,101s19,0.1319343155841481
101,s20,101s20,0.1102049375285271
101,s21,101s21,0.1070017746258051
101,s22,101s22,0.136188381951268
101,s23,101s23,0.0859512452958744
101,s24,101s24,0.1257269679024486
101,s25,101s25,0.1725498743037004
101,s26,101s26,0.1393598459579697
101,s27,101s27,0.1167652846362322
101,s28,101s28,0.1064491255536641
147,s01,147s01,0.1464562996978945
147,s02,147s02,0.1271529470466325
147,s03,147s03,0.1310169253753862
147,s04,147s04,0.1251011875515762
147,s05,147s05,0.1115042771810868
147,s06,147s06,0.1276373634225495
147,s07,147s07,0.1000715067691448
147,s08,147s08,0.0880911147610855
147,s09,147s09,0.118298504787439
147,s10,147s10,0.093457217651442
147,s11,147s11,0.121598992736705
147,s12,147s12,0.1235175876886767
147,s13,147s13,0.1368005444393449
147,s14,147s14,0.1333167119090238
147,s15,147s15,0.1358467438706946
147,s16,147s16,0.1323077188451152
147,s17,147s17,0.1192828909604488
147,s18,147s18,0.1075338775352485
147,s19,147s19,0.1255880459404154
147,s20,147s20,0.1038586678847945
147,s21,147s21,0.1006555049820724
147,s22,147s22,0.1298421123075354
147,s23,147s23,0.0796049756521418
147,s24,147s24,0.1193806982587159
147,s25,147s25,0.1662036046599676
147,s26,147s26,0.1330135763142369
147,s27,147s27,0.1104190149924995
147,s28,147s28,0.1001028559099315
151,s01,151s01,0.1029961788547592
151,s02,151s02,0.0836928262034972
151,s03,151s03,0.087556804532251
151,s04,151s04,0.0816410667084409
151,s05,151s05,0.0680441563379516
151,s06,151s06,0.0841772425794142
151,s07,151s07,0.0566113859260095
151,s08,151s08,0.0446309939179503
151,s09,151s09,0.0748383839443038
151,s10,151s10,0.0499970968083067
151,s11,151s11,0.0781388718935697
151,s12,151s12,0.0800574668455414
151,s13,151s13,0.0933404235962098
151,s14,151s14,0.0898565910658886
151,s15,151s15,0.0923866230275595
151,s16,151s16,0.0888475980019799
151,s17,151s17,0.0758227701173135
151,s18,151s18,0.0640737566921133
151,s19,151s19,0.0821279250972803
151,s20,151s20,0.0603985470416593
151,s21,151s21,
151,s22,151s22,0.0863819914644001
151,s23,151s23,0.0361448548090066
151,s24,151s24,0.0759205774155807
151,s25,151s25,0.1227434838168324
151,s26,151s26,0.0895534554711017
151,s27,151s27,0.0669588941493642
151,s28,151s28,0.0566427350667962
153,s01,153s01,0.1028712632485054
153,s02,153s02,0.0835679105972434
153,s03,153s03,0.0874318889259972
153,s04,153s04,0.0815161511021872
153,s05,153s05,0.0679192407316977
153,s06,153s06,0.0840523269731604
153,s07,153s07,0.0564864703197557
153,s08,153s08,0.0445060783116965
153,s09,153s09,0.07471346833805
153,s10,153s10,0.0498721812020529
153,s11,153s11,0.0780139562873159
153,s12,153s12,0.0799325512392877
153,s13,153s13,0.0932155079899561
153,s14,153s14,0.0897316754596348
153,s15,153s15,0.0922617074213057
153,s16,153s16,0.0887226823957261
153,s17,153s17,0.0756978545110598
153,s18,153s18,0.0639488410858595
153,s19,153s19,
153,s20,153s20,0.0602736314354055
153,s21,153s21,0.0570704685326834
153,s22,153s22,0.0862570758581464
153,s23,153s23,0.0360199392027528
153,s24,153s24,0.0757956618093269
153,s25,153s25,0.1226185682105786
153,s26,153s26,0.0894285398648479
153,s27,153s27,0.0668339785431105
153,s28,153s28,0.0565178194605425
155,s01,155s01,0.1057437205623742
155,s02,155s02,0.0864403679111123
155,s03,155s03,0.090304346239866
155,s04,155s04,0.0843886084160559
155,s05,155s05,0.0707916980455666
155,s06,155s06,0.0869247842870293
155,s07,155s07,0.0593589276336245
155,s08,155s08,0.0473785356255653
155,s09,155s09,0.0775859256519189
155,s10,155s10,0.0527446385159217
155,s11,155s11,0.0808864136011847
155,s12,155s12,0.0828050085531565
155,s13,155s13,0.0960879653038248
155,s14,155s14,0.0926041327735036
155,s15,155s15,0.0951341647351745
155,s16,155s16,0.0915951397095949
155,s17,155s17,0.0785703118249286
155,s18,155s18,0.0668212983997283
155,s19,155s19,
155,s20,155s20,0.0631460887492743
155,s21,155s21,0.0599429258465522
155,s22,155s22,0.0891295331720152
155,s23,155s23,0.0388923965166216
155,s24,155s24,0.0786681191231958
155,s25,155s25,0.1254910255244475
155,s26,155s26,0.0923009971787168
155,s27,155s27,0.0697064358569793
155,s28,155s28,0.0593902767744112
157,s01,157s01,0.1425801984722797
157,s02,157s02,0.1232768458210179
